pressure(bar),heat flux(kW/m2),mass fluxkg/(m2⋅s),sub cooling,channel dia(mm),d/dMax,t/tMax
3,165,400,10,3.63,0.1512605042,0.05981395983
3,165,400,10,3.63,0.262605042,0.09560668027
3,165,400,10,3.63,0.3487394958,0.1194131829
3,165,400,10,3.63,0.3760504201,0.1525704971
3,165,400,10,3.63,0.4243697479,0.1901689588
3,165,400,10,3.63,0.4726890755,0.2232286654
3,165,400,10,3.63,0.5021008404,0.2518374638
3,165,400,10,3.63,0.531512605,0.2849850172
3,165,400,10,3.63,0.5840336134,0.3195381207
3,165,400,10,3.63,0.6155462184,0.3526759133
3,165,400,10,3.63,0.6449579832,0.3827976301
3,165,400,10,3.63,0.6953781513,0.415847576
3,165,400,10,3.63,0.7016806722,0.4460766612
3,165,400,10,3.63,0.699579832,0.483909381
3,165,400,10,3.63,0.737394958,0.5139920547
3,165,400,10,3.63,0.7899159663,0.5470322397
3,165,400,10,3.63,0.8277310925,0.5786278317
3,165,400,10,3.63,0.8571428571,0.6117753854
3,165,400,10,3.63,0.9096638655,0.6463284887
3,165,400,10,3.63,0.9453781513,0.6733950863
3,165,400,10,3.63,0.9453781513,0.7066792907
3,165,400,10,3.63,0.9747899159,0.7383139255
3,165,400,10,3.63,0.9957983193,0.7745263589
3,165,400,10,3.63,0.9642857142,0.8064440562
3,165,400,10,3.63,0.9579831933,0.8367317058
3,165,400,10,3.63,0.968487395,0.8714800246
3,165,400,10,3.63,1,0.9015919805
3,165,400,10,3.63,0.981092437,0.9379898682
3,165,400,10,3.63,0.9747899159,0.9713033548
3,165,400,10,3.63,0.9852941176,1
5,165,400,10,3.63,0.1299734748,0.06516192147
5,165,400,10,3.63,0.2387267905,0.09444999141
5,165,400,10,3.63,0.2970822281,0.125492925
5,165,400,10,3.63,0.3633952254,0.1643218057
5,165,400,10,3.63,0.4137931035,0.1922685143
5,165,400,10,3.63,0.4297082229,0.2281625367
5,165,400,10,3.63,0.4907161803,0.2638851068
5,165,400,10,3.63,0.4827586207,0.2967434167
5,165,400,10,3.63,0.572944297,0.3323550472
5,165,400,10,3.63,0.596816976,0.3666555725
5,165,400,10,3.63,0.676392573,0.397617823
5,165,400,10,3.63,0.7082228116,0.4287616108
5,165,400,10,3.63,0.7400530504,0.4645951207
5,165,400,10,3.63,0.7506631299,0.4989460731
5,165,400,10,3.63,0.7718832892,0.5316934432
5,165,400,10,3.63,0.8594164456,0.5688783999
5,165,400,10,3.63,0.8938992043,0.5953223804
5,165,400,10,3.63,0.9310344828,0.6280092381
5,165,400,10,3.63,0.9416445623,0.6623601908
5,165,400,10,3.63,0.9230769232,0.6968220829
5,165,400,10,3.63,0.9389920423,0.7327161052
5,165,400,10,3.63,0.9204244032,0.7624882756
5,165,400,10,3.63,0.9575596817,0.7998648554
5,165,400,10,3.63,0.9442970822,0.8327433358
5,165,400,10,3.63,1,0.8622331144
5,165,400,10,3.63,0.9469496021,0.9030790795
5,165,400,10,3.63,0.9310344828,0.9328411644
5,165,400,10,3.63,0.9177718833,0.9657196452
5,165,400,10,3.63,0.9469496021,1
7,165,400,10,3.63,0.05572755418,0.02667237719
7,165,400,10,3.63,0.1300309598,0.05470252146
7,165,400,10,3.63,0.1950464396,0.0884097723
7,165,400,10,3.63,0.3250773995,0.1148634487
7,165,400,10,3.63,0.399380805,0.1457184775
7,165,400,10,3.63,0.4427244582,0.173839747
7,165,400,10,3.63,0.4674922602,0.2076654608
7,165,400,10,3.63,0.479876161,0.2372902979
7,165,400,10,3.63,0.4613003096,0.2698311448
7,165,400,10,3.63,0.520123839,0.2950819672
7,165,400,10,3.63,0.5913312694,0.3287709931
7,165,400,10,3.63,0.6222910217,0.3583411551
7,165,400,10,3.63,0.6563467493,0.3879022044
7,165,400,10,3.63,0.7120743034,0.4188119083
7,165,400,10,3.63,0.7089783283,0.4541320772
7,165,400,10,3.63,0.7089783283,0.4823809222
7,165,400,10,3.63,0.8049535605,0.5117597208
7,165,400,10,3.63,0.7801857586,0.5400814661
7,165,400,10,3.63,0.826625387,0.57243095
